PALLFNF_Index,PNFUEL_Index,PFANDB_Index,PCOCO_USD,PCOFFOTM_USD,PCOFFROB_USD,PCOTTIND_USD,PFISH_USD,PLAMB_USD,PLEAD_USD,PLOGORE_USD,PLOGSK_USD,PMAIZMT_USD,PNGASEU_USD,PNGASJP_USD,PNGASUS_USD,PSMEA_USD,PSUNO_USD,PURAN_USD,PWHEAMT_USD
147.99,143.65,136.32,1916.67,134.57,97.45,68.93,1054,167.72,3722.61,143.4,271.68,164.09,308.16,192.73,242.48,300.43,673,77.5,335.15
157.91,142.93,137.92,1967.31,130.33,92.2,69.71,1031.14,170.4,3319.91,135.16,279.41,171.06,308.16,200.3,255.8,315.25,673,92,321.81
156.74,143.14,144.42,2119.88,136.47,91.37,69.59,1079.68,165.92,2616.08,124.59,275.34,180.25,308.16,216.08,256.56,351.22,673,91.8,368.62
162.36,151.72,151.52,2216.38,139.05,100.74,73.25,1114.49,161.18,2621.78,137.75,287.08,206.53,369.72,220.92,287.38,376.33,673,87.56,369.59
171.05,162.14,164.78,2522.83,158.21,117.23,75.05,1140.39,173.38,3089.61,130.78,288.4,219.95,369.72,226.18,307.61,396.71,673,76,425
181.37,168.59,171.16,2647.64,148.07,122.44,80.18,1169.75,178.74,3012.93,135.11,304.85,233.85,369.72,223.66,338.79,379.7,1303.1,73.71,439.72
189.36,167.25,169.76,2631.23,137.74,111.86,75.41,1184.37,183.69,2834.88,135.71,291.76,246.67,428.4,241.54,366.49,375.32,2177.36,69.44,362.23
203.94,165.82,171.36,2693.41,139.74,109.79,74.12,1191.92,186.59,2216.09,144.83,282.97,243.46,428.4,258.79,405.63,369.37,2214.55,61.67,328.76
215.64,168.2,178.34,3021.76,144.08,112.04,77.04,1208.78,185.14,1860.51,152.37,272.29,287.11,428.4,280.04,456.57,436.91,2300.19,59,348.55
219.6,168.66,177.04,2953.67,145.35,115.03,77.29,1265.05,184.13,1960.04,143.25,275.76,266.94,516.96,296.24,399.17,452.19,2267.74,61.84,328.18
195.5,157.97,164.79,2796.8,145.77,113.43,78.04,1240.64,177.66,1902.85,146.58,272.95,235.16,516.96,290.56,297.05,388.4,2060.24,64.5,329.34
176.21,149.2,154.36,2672.05,140.56,106.67,73.59,1223.44,170.13,1872.31,145.16,284.47,233.91,516.96,265.1,274.36,363.78,1948.82,63,295.55
139.16,126.32,130.25,2251.23,121.41,88.91,62.3,1101.43,162.1,1494.26,169.06,304.45,182.96,576.72,276.68,242.5,290.84,1724.39,48.6,237.38
114.93,117.04,122.89,2046.08,120.44,92.92,55.06,1049.74,145.13,1286.43,167.18,315.97,164.27,576.72,191.46,241.09,292.76,1624.4,50.5,226.85
98.34,109.97,120.78,2420.04,116.97,83.82,55.47,1032.27,140.81,968.17,160.09,326.62,158.16,576.72,155.28,210.1,292.94,1357,54.33,220.14
102.51,115.34,129.28,2608.89,128.03,85.77,57.7,1037.3,137.4,1144.9,145.27,329.65,173.24,576.72,126.87,188.39,338.5,1211.36,51.44,239.36
98.24,112.84,126.38,2660.47,128.51,81.47,55.21,1046.77,133.92,1099.63,168.55,322.45,163.13,520.92,122.66,161.54,320.89,1038.1,47,224.69
100.14,111.24,126.9,2493.98,127.76,77.48,51.5,1054.07,131.97,1246.52,147.09,288.57,164.52,412.92,131.5,142.49,315.37,831.41,43.38,230.98
104.14,116.26,132.69,2541.7,134.58,76.5,56.78,1055.71,139.44,1393.91,142.86,283.13,168.72,309.6,136.13,125.81,349.57,929.05,41.72,233.47
114.85,123.51,142.16,2554.6,147.64,77.05,61.95,1117.44,143.13,1449.67,132.06,291.06,180.31,309.6,142.86,137.94,408.05,1043.81,48.56,256.7
128.13,128.45,143.56,2699.61,144.46,75.65,61.39,1164.08,153.37,1668.19,133.73,279.25,178.83,309.6,146.65,136.68,441.78,1115.55,51.5,253.41
123.39,129.48,138.51,2805.48,137.6,74.82,64.8,1222.51,154.13,1674.51,132.6,281.42,151.76,244.44,169.37,121.97,385.85,1021.87,49.7,224.95
132.76,136.73,137.48,2956.66,146.87,75.04,64.26,1295.4,155.77,1893.04,126.58,276.62,152.01,222.48,178.42,113.01,397.3,1078.9,47.19,210.37
127.5,132.21,134.5,3149.51,145.67,77.31,64.07,1362.82,154.61,2205.48,132.18,280.84,150.57,222.48,179.89,107.5,342.18,1021.41,44.28,191.09
134.77,134.7,135.97,3372.5,151.95,76.68,66.82,1463.87,152.03,2227.69,126.95,276.62,167.22,232.2,184.1,143.97,328.54,1005.23,46.11,198.85
140.88,140.97,140.24,3379.33,150.23,73.08,71.78,1557.8,155.55,2303.44,123.33,271.97,171.61,232.2,180.1,132.37,337.63,1070.43,44.75,211.04
140.89,146.1,143.03,3517.54,155.86,74.68,76.78,1692.45,151.99,2326.26,128.63,264.83,164.58,232.2,192.73,192.51,345.58,1132.91,44.44,206.25
146.09,150.1,142.05,3522.1,154.41,75.11,77.4,1748.38,152.32,2352.18,126.02,258.22,167.21,273.24,196.51,210.32,325.85,1113.62,43.83,201.51
142.38,147.65,140.88,3276.56,155.92,73.52,80.04,1709.79,147.78,2125.8,139.56,252.76,161.63,273.24,189.57,191.37,303.66,1091.4,42.1,194.54
148.85,153.24,141.76,3089.65,162.15,72.55,85.79,1793.86,142.38,2162.71,143.08,249.84,159.01,273.24,192.94,154.49,292.6,1105.22,40.91,191.07
157.93,162.55,145.55,3221.23,171.07,76.37,88.09,1961.11,144.95,2272.18,140.23,246.04,157.66,300.6,196.51,145.37,308.05,1132.77,41.33,192.82
146.44,154.68,143.1,3165.75,174.03,76.24,90.07,1907.78,138.19,1876.82,143.85,253.66,163.77,283.32,211.24,149.4,305.74,1102.52,41.3,181.88
143.32,148.77,140.01,3230.83,193.52,82.51,91.68,1817.13,138.06,1707.28,143.38,260.84,152.87,290.16,195.25,172.85,314.32,1090.32,40.78,157.67
143.9,150.99,147.17,3229.55,205.25,89.95,84.15,1705.03,143.14,1843.97,146.32,274.91,163.92,305.28,191.25,166.61,335.09,1094.77,41.94,195.82
148.31,160.22,154.13,3071.71,212.8,89.06,90.35,1673.83,147,2082.8,141.77,294.67,175.6,308.52,186.2,155.32,339.14,1140.05,46.06,246.25
150.14,164.14,158.32,2874.98,222.1,87.11,104.73,1632.19,147.03,2192.85,136.92,310.91,205.84,305.64,188.94,140.21,334.06,1195.18,46.67,271.69
159.33,173.02,164.77,2927.45,215.84,90.57,126.55,1665.71,149.51,2383.55,145.89,316.36,235.7,311.04,200.3,123.62,353.75,1304.14,48.83,270.23
164.65,177.51,166.85,2910.31,227.96,97.94,155.47,1662.63,150.75,2364.98,141.02,313.32,238.24,313.56,210.4,133.7,376.04,1395.77,57.16,274.08
174.63,187.47,177.92,3047.06,237.33,98.32,168.22,1593.21,147.14,2413.2,149.49,306.54,250.63,314.28,209.35,152.85,387.51,1466.26,60.63,306.53
181.87,196.52,185.29,3164.48,262.94,106.03,178.93,1607.46,147.57,2583.98,152.47,315.32,265.29,330.84,227.44,161.71,412.07,1528.95,63.88,326.55
189.78,203.88,192.33,3471.1,288.08,114.62,213.18,1612.82,150.32,2595.58,150.29,328.63,293.4,329.04,250.17,147.32,410.16,1591.5,65,348.15
199.36,200.41,187.93,3392.97,294.48,122.46,229.67,1755.65,152.53,2624.02,150.1,334.76,290.36,328.32,256.27,143.04,393.93,1576.96,63.5,316.75
209.82,205.12,193.3,3113.51,302.71,121.29,216.62,1760.73,154.08,2719.35,156.19,343.5,318.7,361.08,303.19,152.52,388.22,1691.76,57.82,336.12
199.27,198.12,189.65,3070.77,293.06,126.3,165.52,1590.95,154.33,2419.64,160.91,385.25,308.47,360.72,331.38,155.2,388.26,1701.18,56.06,354.47
195.76,194.24,184.16,3015.64,277.78,122.15,160.65,1508,153.14,2524.99,157.68,417.56,310.46,360,342.74,163.32,391.54,1700.86,55.4,326.43
198.72,194.96,182.9,3167.18,269.18,116.58,149.25,1469.08,152.24,2681.02,152.67,430.49,300.8,403.2,342.74,159.21,389.29,1676.43,52.79,303.88
190.3,191.41,184.37,3064.31,273.54,119,114.1,1455.06,153.8,2393.06,147.1,450.03,310.24,399.96,372.41,145.94,393.8,1666.04,50.68,327.07
188.57,185.35,178.03,2873.88,275.58,113.94,116.65,1346.9,147.54,2287.67,140.97,453.63,296.21,399.96,374.09,140.04,381.85,1672.77,51.98,315.92
182.74,171.67,167.82,2680.05,248.49,107.34,110.61,1352.34,146.92,1960.38,138.96,435.86,274.78,435.96,370.3,128.3,347.45,1565.19,52.34,289.01
186.25,167.51,166.39,2527.43,249.5,108.18,104.68,1402.34,142,1994.22,148.52,403.26,274.23,432.72,376.41,117.3,329.09,1554.77,53.19,281.01
183.92,164.5,163.13,2200.61,243.14,114.07,95.45,1369.68,135.97,2024.56,144,387.86,258.44,435.96,379.77,113.86,320.68,1535.64,52.18,269.03
188.29,168.81,165.05,2307.76,240.89,109.4,101.11,1295.05,132.74,2100.21,144.93,387.75,272.85,443.88,367.36,96.1,347.6,1553.41,52.31,274.89
195.77,173.75,169.81,2356.24,225.49,111.25,100.75,1315.22,125.03,2121.26,142.61,374.98,279.46,439.92,351.58,91.06,364.49,1441,52.06,277.77
201.67,175.52,173.12,2359.25,201.85,113.6,99.5,1319.33,117.18,2056.69,147.03,357.05,280.66,450.36,387.56,77.89,405.23,1441,51.29,283.88
197.54,175.19,173.64,2266.78,193.35,111.71,100.1,1408.1,109.12,2073.64,128.01,353.7,274.21,452.52,411.75,70.31,440.62,1441,51.3,266.32
185.08,169.42,168.84,2113.09,186.35,116.01,88.53,1518,97.92,1999.25,148.87,367.03,268.79,452.52,385.66,87.56,459.42,1441,51.89,264.36
169.95,165.65,167.91,2265.84,169.79,113.34,82.18,1642.3,92.33,1850.96,145.65,362.31,267.23,452.16,407.76,88.36,464.02,1441,50.83,276.19
177.91,172.31,182.79,2349.82,190.77,113.37,83.97,1735.12,91.46,1881.48,134.37,357.19,332.95,409.68,401.86,106.73,552.54,1505.54,50.36,345.69
185.48,169.57,184.02,2512.26,175.97,113.01,84.4,1755.74,88.52,1897.77,141.43,354.71,332.17,410.4,386.93,102.17,585.75,1549.86,49.25,349.4
186.91,170.54,180.81,2620.28,179.6,110.87,84.15,1716.05,88.52,2177.68,175.5,353.34,320.72,409.68,394.71,102.68,559.56,1582.85,47.73,353.42
183.14,169.68,177.37,2463.54,172.37,109.89,81.95,1694.59,88.52,2141.97,152.15,350.23,321.63,416.52,363.36,119.49,519.91,1483.16,44.61,358.2
180.57,168.21,175.52,2478.16,160.64,102.94,80.87,1902.06,88.52,2181.97,166.12,353.03,321.54,419.04,354.1,127.42,490.6,1483.03,41.5,361
182.29,172.24,176.46,2431.82,154.22,102.3,83.37,2190.08,91.39,2279.8,166.12,354.8,308.72,419.04,354.1,120.24,489.69,1510.91,43.67,347.89
187.19,175.67,177.37,2275.44,158.27,105.79,85.51,2088.6,94.63,2334.47,166.12,334.1,303.29,410.04,354.1,119.78,456.81,1506.78,42.75,335.5
